code,mun,municipio,poblacion,p2005
yb45,485,Santiago Tapextla,3031,2578
jz38,486,Villa Tejúpam de la Unión,2469,2112
fot7,487,Santiago Tenango,1945,1702
fld2,488,Santiago Tepetlapa,131,105
vfe8,489,Santiago Tetepec,4953,4327
cw34,490,Santiago Texcalcingo,3076,2600
nm39,491,Santiago Textitlán,4170,3521
dte0,492,Santiago Tilantongo,3210,2763
po82,493,Santiago Tillo,553,485
moh7,494,Santiago Tlazoyaltepec,4894,4185
bo99,495,Santiago Xanica,2884,2448
leq9,496,Santiago Xiacuí,2171,1859
piv4,497,Santiago Yaitepec,4122,3565
ksn9,498,Santiago Yaveo,6665,5530
drc0,499,Santiago Yolomécatl,2021,1701
hi32,500,Santiago Yosondúa,7883,6637
nn25,501,Santiago Yucuyachi,940,781
pfu9,502,Santiago Zacatepec,5515,4960
usk1,503,Santiago Zoochila,374,331
al29,504,Nuevo Zoquiápam,1652,1397
zl69,505,Santo Domingo Ingenio,7554,6641
so04,506,Santo Domingo Albarradas,782,707
fx58,507,Santo Domingo Armenta,3224,2750
zp68,508,Santo Domingo Chihuitán,1521,1360
zja4,509,Santo Domingo de Morelos,10547,8979
kbn4,510,Santo Domingo Ixcatlán,877,750
ogz2,511,Santo Domingo Nuxaá,3610,3108
az50,512,Santo Domingo Ozolotepec,913,810
qy49,513,Santo Domingo Petapa,8394,7098
ys86,514,Santo Domingo Roayaga,997,860
xkg4,515,Santo Domingo Tehuantepec,61872,53427
de56,516,Santo Domingo Teojomulco,4571,3895
tfd7,517,Santo Domingo Tepuxtepec,5194,4447
wlz1,518,Santo Domingo Tlatayápam,153,132
kg47,519,Santo Domingo Tomaltepec,2790,2425
bi07,520,Santo Domingo Tonalá,7153,5816
vi13,521,Santo Domingo Tonaltepec,276,246
zea5,522,Santo Domingo Xagacía,1213,1028
njx0,523,Santo Domingo Yanhuitlán,1609,1378
ir97,524,Santo Domingo Yodohino,369,334
iu27,525,Santo Domingo Zanatepec,11218,9680
fd43,526,Santos Reyes Nopala,15986,13925
hv37,527,Santos Reyes Pápalo,2829,2389
bs84,528,Santos Reyes Tepejillo,1213,999
wic2,529,Santos Reyes Yucuná,1332,1129
kb35,530,Santo Tomás Jalieza,3385,2899
jhw8,531,Santo Tomás Mazaltepec,2333,2045
qhr4,532,Santo Tomás Ocotepec,4076,3530
sl00,533,Santo Tomás Tamazulapan,2191,1892
lbq2,534,San Vicente Coatlán,3964,3390
ceg4,535,San Vicente Lachixío,2976,2536
gp75,536,San Vicente Nuñú,493,423
uc69,537,Silacayoápam,6747,5711
dbj6,538,Sitio de Xitlapehua,705,597
vw71,539,Soledad Etla,5025,4419
sb02,540,Villa de Tamazulápam del Progreso,7059,6116
kwe3,541,Tanetze de Zaragoza,1707,1491
wlu0,542,Taniche,746,664
srz6,543,Tataltepec de Valdés,5561,4965
mg59,544,Teococuilco de Marcos Pérez,1106,970
ig23,545,Teotitlán de Flores Magón,8966,7601
yrj3,546,Teotitlán del Valle,5638,5038
lgl8,547,Teotongo,951,794
xif7,548,Tepelmeme Villa de Morelos,1734,1424
di91,549,Tezoatlán de Segura y Luna,11319,9753
yj24,550,San Jerónimo Tlacochahuaya,5076,4404
nq91,551,Tlacolula de Matamoros,19625,16767
ax47,552,Tlacotepec Plumas,510,422
yd17,553,Tlalixtac de Cabrera,9417,8306
qu18,554,Totontepec Villa de Morelos,5598,4900
hi77,555,Trinidad Zaachila,2653,2404
gb20,556,La Trinidad Vista Hermosa,249,208
ate2,557,Unión Hidalgo,13970,12517
vp53,558,Valerio Trujano,1543,1359
nxg0,559,San Juan Bautista Valle Nacional,22446,19653
tu03,560,Villa Díaz Ordaz,6174,5414
vlt4,561,Yaxe,2683,2303
iq01,562,Magdalena Yodocono de Porfirio Díaz,1458,1203
odz7,563,Yogana,1308,1112
mm83,564,Yutanduchi de Guerrero,1292,1118
sd93,565,Villa de Zaachila,34101,29296
fqu0,566,San Mateo Yucutindó,3034,2697
vwi4,567,Zapotitlán Lagunas,3133,2688
rd42,568,Zapotitlán Palmas,1514,1269
xpx0,569,Santa Inés de Zaragoza,1707,1477
ade0,570,Zimatlán de Álvarez,19215,16585
